src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms],[Mb/s]
45328,10.1.0.1,10.2.0.1,2084170,0.0,0.472074,0.472074,472.074,0.0
45329,10.1.0.1,10.2.0.1,872338,0.999999,1.336074,0.336075,336.075,0.0
45330,10.1.0.1,10.2.0.1,628132,1.999999,2.344074,0.3440749999999999,344.07499999999993,0.0
45331,10.1.0.1,10.2.0.1,570250,2.999999,3.260069,0.26007000000000025,260.0700000000002,0.0
56625,10.1.1.1,10.2.1.1,1774490,6e-06,0.471603,0.471597,471.597,0.0
53816,10.1.1.1,10.2.1.1,1275576,1.000006,1.335603,0.33559700000000015,335.59700000000015,0.0
54088,10.1.1.1,10.2.1.1,854006,2.00001,2.343603,0.3435929999999998,343.5929999999998,0.0
58826,10.1.1.1,10.2.1.1,565202,3.000006,3.259603,0.25959699999999986,259.59699999999987,0.0
45328,10.1.0.1,10.2.0.1,1995552,0.0,0.471931,0.471931,471.931,0.0
42818,10.17.0.1,10.2.0.1,900706,0.002233,0.391927,0.38969400000000004,389.694,0.0
45329,10.1.0.1,10.2.0.1,836290,1.0,1.335931,0.335931,335.931,0.0
42819,10.17.0.1,10.2.0.1,1814382,1.002241,1.311927,0.30968600000000013,309.68600000000015,0.0
45330,10.1.0.1,10.2.0.1,620622,2.0,2.343931,0.343931,343.931,0.0
42820,10.17.0.1,10.2.0.1,3100044,2.002177,2.463927,0.4617499999999999,461.7499999999999,0.0
45331,10.1.0.1,10.2.0.1,568748,3.0,3.259927,0.2599269999999998,259.9269999999998,0.0
42821,10.17.0.1,10.2.0.1,717256,3.002233,3.211927,0.20969400000000027,209.69400000000027,0.0
42822,10.17.0.1,10.2.0.1,1250346,4.002233,4.303927,0.30169399999999946,301.69399999999945,0.0
56625,10.1.1.1,10.2.1.1,1738442,6e-06,0.471371,0.471365,471.36499999999995,0.0
53379,10.17.1.1,10.2.1.1,286308,0.002422,0.391375,0.388953,388.953,0.0
53816,10.1.1.1,10.2.1.1,1263560,0.999917,1.335371,0.33545400000000014,335.4540000000001,0.0
54884,10.17.1.1,10.2.1.1,635282,1.002475,1.315371,0.31289600000000006,312.8960000000001,0.0
54088,10.1.1.1,10.2.1.1,852504,1.999921,2.343371,0.3434499999999998,343.4499999999998,0.0
44153,10.17.1.1,10.2.1.1,1411554,2.002239,2.459371,0.4571320000000001,457.1320000000001,0.0
58826,10.1.1.1,10.2.1.1,562198,2.999917,3.259371,0.25945399999999985,259.45399999999984,0.0
54826,10.17.1.1,10.2.1.1,374338,3.002331,3.211375,0.209044,209.044,0.0
49878,10.17.1.1,10.2.1.1,645532,4.002475,4.303375,0.3009000000000004,300.9000000000004,0.0
50831,10.9.0.1,10.10.0.1,889558,0.0,0.178532,0.178532,178.53199999999998,0.0
48195,10.9.0.1,10.10.0.1,2933094,0.999929,1.526532,0.526603,526.6030000000001,0.0
