src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms],[Mb/s]
34580,192.168.1.41,192.168.1.42,11635,0.0,0.000422955,0.000422955,0.42295499999999997,0.0
47096,192.168.1.41,192.168.1.42,11635,0.105885983,0.106454134,0.0005681510000000028,0.5681510000000028,0.0
42734,192.168.1.41,192.168.1.42,11635,0.109761953,0.110219955,0.000458001999999999,0.458001999999999,0.0
36422,192.168.1.41,192.168.1.42,11635,0.171095133,0.171512127,0.0004169939999999761,0.4169939999999761,0.0
34044,192.168.1.41,192.168.1.42,11635,0.195768118,0.196148157,0.0003800389999999987,0.3800389999999987,0.0
33857,192.168.1.41,192.168.1.42,11635,0.195836067,0.196326971,0.0004909039999999865,0.49090399999998646,0.0
39605,192.168.1.41,192.168.1.42,11569,0.196152925,0.196888924,0.0007359989999999872,0.7359989999999872,0.0
48505,192.168.1.41,192.168.1.42,11635,0.215645075,0.216247082,0.0006020070000000155,0.6020070000000155,0.0
57950,192.168.1.41,192.168.1.42,11635,0.216037035,0.217921972,0.0018849370000000032,1.8849370000000032,0.0
47729,192.168.1.41,192.168.1.42,11635,0.231585979,0.233896971,0.0023109920000000117,2.3109920000000117,0.0
50084,192.168.1.41,192.168.1.42,11569,0.241371155,0.24221611,0.0008449550000000083,0.8449550000000083,0.0
39318,192.168.1.41,192.168.1.42,11569,0.241430044,0.241980076,0.0005500319999999781,0.5500319999999781,0.0
54574,192.168.1.41,192.168.1.42,11635,0.253641129,0.254302979,0.0006618499999999639,0.6618499999999639,0.0
41726,192.168.1.41,192.168.1.42,11635,0.279608011,0.279961109,0.00035309799999999614,0.35309799999999614,0.0
48126,192.168.1.41,192.168.1.42,11635,0.294866085,0.295758963,0.0008928779999999858,0.8928779999999858,0.0
52361,192.168.1.41,192.168.1.42,11569,0.300513983,0.300894022,0.0003800389999999987,0.3800389999999987,0.0
35518,192.168.1.41,192.168.1.42,11635,0.336806059,0.337131977,0.0003259180000000361,0.3259180000000361,0.0
47985,192.168.1.41,192.168.1.42,11635,0.37460804,0.375025034,0.00041699400000000386,0.41699400000000386,0.0
45270,192.168.1.41,192.168.1.42,11635,0.380243063,0.380908966,0.0006659030000000232,0.6659030000000232,0.0
35167,192.168.1.41,192.168.1.42,11635,0.380311012,0.381251097,0.0009400849999999794,0.9400849999999794,0.0
52650,192.168.1.41,192.168.1.42,11635,0.403808117,0.404307127,0.0004990099999999664,0.4990099999999664,0.0
55732,192.168.1.41,192.168.1.42,11635,0.407236099,0.408905029,0.0016689299999999574,1.6689299999999574,0.0
57497,192.168.1.41,192.168.1.42,11635,0.410525084,0.41092515,0.00040006600000003223,0.40006600000003223,0.0
41460,192.168.1.41,192.168.1.42,11569,0.423614979,0.424018145,0.00040316600000001035,0.40316600000001035,0.0
54518,192.168.1.41,192.168.1.42,11635,0.445042133,0.445549965,0.0005078319999999859,0.5078319999999859,0.0
60181,192.168.1.41,192.168.1.42,11635,0.447381973,0.447675943,0.00029397000000003226,0.29397000000003226,0.0
56229,192.168.1.41,192.168.1.42,11635,0.454427958,0.454751015,0.00032305699999995996,0.32305699999995996,0.0
57696,192.168.1.41,192.168.1.42,11569,0.460847139,0.461158991,0.00031185200000000135,0.31185200000000135,0.0
46217,192.168.1.41,192.168.1.42,11635,0.471796989,0.472270966,0.0004739770000000143,0.4739770000000143,0.0
49284,192.168.1.41,192.168.1.42,11569,0.471840143,0.472325087,0.00048494399999998716,0.48494399999998716,0.0
38119,192.168.1.41,192.168.1.42,11635,0.490524054,0.490895987,0.00037193299999999097,0.37193299999999097,0.0
48102,192.168.1.41,192.168.1.42,11635,0.496380091,0.497179985,0.0007998939999999677,0.7998939999999677,0.0
37390,192.168.1.41,192.168.1.42,11635,0.496406078,0.496767044,0.0003609660000000181,0.3609660000000181,0.0
57293,192.168.1.41,192.168.1.42,11635,0.496495008,0.496978998,0.0004839899999999897,0.4839899999999897,0.0
43835,192.168.1.41,192.168.1.42,11635,0.510581017,0.510893106,0.0003120890000000154,0.3120890000000154,0.0
40207,192.168.1.41,192.168.1.42,11701,0.513054132,0.513455153,0.0004010209999999459,0.4010209999999459,0.0
45561,192.168.1.41,192.168.1.42,11635,0.517832041,0.518254042,0.0004220010000000052,0.4220010000000052,0.0
46687,192.168.1.41,192.168.1.42,11635,0.518440008,0.518795013,0.0003550049999999638,0.3550049999999638,0.0
35209,192.168.1.41,192.168.1.42,11635,0.53411603,0.534462929,0.0003468990000000671,0.3468990000000671,0.0
34207,192.168.1.41,192.168.1.42,11635,0.541792154,0.54214406,0.00035190600000001293,0.35190600000001293,0.0
49192,192.168.1.41,192.168.1.42,11569,0.541881084,0.542273998,0.00039291399999996646,0.39291399999996646,0.0
55969,192.168.1.41,192.168.1.42,11635,0.543339014,0.543648958,0.00030994400000006195,0.30994400000006195,0.0
50626,192.168.1.41,192.168.1.42,11701,0.554389954,0.55489397,0.0005040159999999405,0.5040159999999405,0.0
43151,192.168.1.41,192.168.1.42,11635,0.581366062,0.58278513,0.0014190680000000233,1.4190680000000233,0.0
46776,192.168.1.41,192.168.1.42,11635,0.596106052,0.596516132,0.00041007999999997935,0.41007999999997935,0.0
42706,192.168.1.41,192.168.1.42,11635,0.600903034,0.601179123,0.0002760889999999794,0.2760889999999794,0.0
52798,192.168.1.41,192.168.1.42,11635,0.638077021,0.63848114,0.0004041190000000361,0.4041190000000361,0.0
49727,192.168.1.41,192.168.1.42,11701,0.675590038,0.676131964,0.0005419260000000259,0.5419260000000259,0.0
46676,192.168.1.41,192.168.1.42,11635,0.681035995,0.682654142,0.0016181469999999587,1.6181469999999587,0.0
47673,192.168.1.41,192.168.1.42,11701,0.682892084,0.683448076,0.0005559920000000051,0.5559920000000051,0.0
52760,192.168.1.41,192.168.1.42,11569,0.704867125,0.705294132,0.00042700699999997926,0.42700699999997926,0.0
38212,192.168.1.41,192.168.1.42,11635,0.709515095,0.710106134,0.0005910390000000154,0.5910390000000154,0.0
41169,192.168.1.41,192.168.1.42,11635,0.711472034,0.711936951,0.0004649169999999536,0.4649169999999536,0.0
35957,192.168.1.41,192.168.1.42,11635,0.724565983,0.724930048,0.00036406500000008,0.36406500000008,0.0
43219,192.168.1.41,192.168.1.42,11701,0.74970293,0.75032115,0.0006182200000000027,0.6182200000000027,0.0
45742,192.168.1.41,192.168.1.42,11635,0.749745131,0.75067997,0.0009348390000000206,0.9348390000000206,0.0
35595,192.168.1.41,192.168.1.42,11569,0.754853964,0.755243063,0.00038909899999994835,0.38909899999994835,0.0
39421,192.168.1.41,192.168.1.42,11635,0.762546062,0.763077021,0.0005309589999999975,0.5309589999999975,0.0
58877,192.168.1.41,192.168.1.42,11701,0.772388935,0.773151159,0.0007622239999999225,0.7622239999999225,0.0
36862,192.168.1.41,192.168.1.42,11701,0.772482157,0.772799969,0.0003178120000000284,0.3178120000000284,0.0
45661,192.168.1.41,192.168.1.42,11635,0.791520119,0.792217016,0.0006968970000000851,0.6968970000000851,0.0
54608,192.168.1.41,192.168.1.42,11635,0.79686904,0.797230005,0.00036096499999993537,0.36096499999993537,0.0
54349,192.168.1.41,192.168.1.42,11635,0.796937943,0.797343016,0.00040507300000003355,0.40507300000003355,0.0
33960,192.168.1.41,192.168.1.42,11635,0.797522068,0.797948122,0.0004260539999999535,0.4260539999999535,0.0
57629,192.168.1.41,192.168.1.42,11635,0.810956001,0.811280012,0.00032401100000001293,0.3240110000000129,0.0
56009,192.168.1.41,192.168.1.42,11635,0.817681074,0.818071127,0.0003900529999999458,0.3900529999999458,0.0
60370,192.168.1.41,192.168.1.42,11635,0.820974112,0.822651148,0.0016770360000000206,1.6770360000000206,0.0
45584,192.168.1.41,192.168.1.42,11635,0.821022034,0.822123051,0.001101017000000093,1.101017000000093,0.0
44838,192.168.1.41,192.168.1.42,11635,0.834811926,0.835489035,0.0006771090000000646,0.6771090000000646,0.0
53831,192.168.1.41,192.168.1.42,11569,0.842209101,0.842700005,0.0004909039999999587,0.4909039999999587,0.0
45805,192.168.1.41,192.168.1.42,11635,0.842231035,0.842736959,0.0005059240000000464,0.5059240000000464,0.0
53096,192.168.1.41,192.168.1.42,11635,0.843724012,0.844107151,0.0003831389999999768,0.3831389999999768,0.0
60224,192.168.1.41,192.168.1.42,11635,0.855278969,0.855679989,0.0004010199999999742,0.4010199999999742,0.0
33493,192.168.1.41,192.168.1.42,11635,0.883470058,0.884642124,0.0011720659999999716,1.1720659999999716,0.0
42800,192.168.1.41,192.168.1.42,11635,0.897093058,0.897438049,0.0003449909999999612,0.3449909999999612,0.0
49014,192.168.1.41,192.168.1.42,11635,0.903380156,0.903707027,0.00032687100000006186,0.32687100000006186,0.0
57675,192.168.1.41,192.168.1.42,11701,0.938826084,0.939571142,0.0007450580000000206,0.7450580000000206,0.0
44022,192.168.1.41,192.168.1.42,11569,0.976308107,0.976710081,0.00040197399999997163,0.40197399999997163,0.0
47364,192.168.1.41,192.168.1.42,11635,0.983063936,0.983433008,0.0003690720000000258,0.3690720000000258,0.0
56957,192.168.1.41,192.168.1.42,11635,0.98379612,0.984199047,0.00040292699999999737,0.40292699999999737,0.0
47113,192.168.1.41,192.168.1.42,11635,1.005805016,1.006140947,0.000335930999999956,0.335930999999956,0.0
40223,192.168.1.41,192.168.1.42,11635,1.010313034,1.010816097,0.0005030630000000258,0.5030630000000258,0.0
52840,192.168.1.41,192.168.1.42,11635,1.013281107,1.013664961,0.00038385399999985026,0.38385399999985026,0.0
60932,192.168.1.41,192.168.1.42,11635,1.025362015,1.025797129,0.0004351140000000697,0.4351140000000697,0.0
37049,192.168.1.41,192.168.1.42,11701,1.052888155,1.055444002,0.002555847,2.555847,0.0
52302,192.168.1.41,192.168.1.42,11701,1.052927017,1.055907965,0.002980948000000039,2.980948000000039,0.0
43970,192.168.1.41,192.168.1.42,11701,1.05539608,1.05567503,0.00027895000000000003,0.27895000000000003,0.0
34424,192.168.1.41,192.168.1.42,11635,1.063297033,1.063647985,0.0003509520000000155,0.3509520000000155,0.0
59180,192.168.1.41,192.168.1.42,11635,1.07291913,1.073193073,0.0002739430000000542,0.2739430000000542,0.0
41768,192.168.1.41,192.168.1.42,11635,1.073485136,1.075067997,0.0015828610000001575,1.5828610000001575,0.0
49009,192.168.1.41,192.168.1.42,11635,1.092509031,1.092886925,0.0003778939999998787,0.3778939999998787,0.0
54088,192.168.1.41,192.168.1.42,11635,1.097289085,1.097615004,0.0003259189999997858,0.3259189999997858,0.0
45255,192.168.1.41,192.168.1.42,11635,1.097368002,1.097728968,0.0003609659999999071,0.3609659999999071,0.0
38630,192.168.1.41,192.168.1.42,11701,1.098165035,1.098590136,0.0004251010000000388,0.4251010000000388,0.0
47497,192.168.1.41,192.168.1.42,11635,1.114609957,1.115286112,0.0006761549999998451,0.6761549999998451,0.0
56685,192.168.1.41,192.168.1.42,11701,1.118220091,1.119457006,0.001236915000000005,1.236915000000005,0.0
59154,192.168.1.41,192.168.1.42,11701,1.122462034,1.123851061,0.0013890270000000982,1.3890270000000982,0.0
44971,192.168.1.41,192.168.1.42,11635,1.123671055,1.124136925,0.00046586999999997936,0.46586999999997936,0.0
49876,192.168.1.41,192.168.1.42,11635,1.13601613,1.137531996,0.0015158660000000879,1.5158660000000879,0.0
38728,192.168.1.41,192.168.1.42,11569,1.142743111,1.143661022,0.00091791100000016,0.91791100000016,0.0
38994,192.168.1.41,192.168.1.42,11569,1.142791033,1.143306971,0.0005159379999999381,0.5159379999999381,0.0
60392,192.168.1.41,192.168.1.42,11635,1.144212008,1.144814014,0.0006020060000000438,0.6020060000000438,0.0
