src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms],[Mb/s]
42010,192.168.10.13,192.168.10.10,78487,0.0,0.001837969,0.001837969,1.837969,0.0
39469,192.168.10.13,192.168.10.10,78487,0.026636124,0.028079987,0.001443863,1.4438630000000001,0.0
47745,192.168.10.13,192.168.10.10,78487,0.03592205,0.037840128,0.0019180780000000036,1.9180780000000035,0.0
39915,192.168.10.13,192.168.10.10,78487,0.04330492,0.044701099,0.0013961790000000043,1.3961790000000043,0.0
34747,192.168.10.13,192.168.10.10,78487,0.044661999,0.046108007,0.0014460079999999986,1.4460079999999986,0.0
34897,192.168.10.13,192.168.10.10,78487,0.064868927,0.066456079,0.0015871519999999945,1.5871519999999943,0.0
34520,192.168.10.13,192.168.10.10,78553,0.071480036,0.07269907,0.0012190340000000077,1.2190340000000077,0.0
49084,192.168.10.13,192.168.10.10,78487,0.081188917,0.082683086,0.0014941690000000035,1.4941690000000034,0.0
42567,192.168.10.13,192.168.10.10,78487,0.09492898,0.096667051,0.0017380710000000077,1.7380710000000077,0.0
38164,192.168.10.13,192.168.10.10,78487,0.102209091,0.103708029,0.0014989379999999913,1.4989379999999914,0.0
35607,192.168.10.13,192.168.10.10,78487,0.11449194,0.116068125,0.0015761849999999938,1.576184999999994,0.0
56899,192.168.10.13,192.168.10.10,78553,0.126321077,0.127619028,0.0012979509999999916,1.2979509999999916,0.0
44993,192.168.10.13,192.168.10.10,78487,0.132669926,0.134009123,0.0013391970000000142,1.3391970000000142,0.0
49673,192.168.10.13,192.168.10.10,78685,0.147258043,0.148725033,0.0014669900000000013,1.4669900000000013,0.0
47473,192.168.10.13,192.168.10.10,78487,0.153871059,0.155184031,0.0013129719999999956,1.3129719999999956,0.0
35831,192.168.10.13,192.168.10.10,78487,0.166485071,0.168287039,0.0018019679999999871,1.8019679999999871,0.0
59400,192.168.10.13,192.168.10.10,78619,0.172279119,0.174003124,0.0017240050000000007,1.7240050000000007,0.0
41818,192.168.10.13,192.168.10.10,78619,0.181111097,0.182956934,0.001845836999999989,1.845836999999989,0.0
37398,192.168.10.13,192.168.10.10,78619,0.195658922,0.197508097,0.0018491749999999807,1.8491749999999807,0.0
48665,192.168.10.13,192.168.10.10,78487,0.207711935,0.209198952,0.0014870170000000071,1.4870170000000071,0.0
39355,192.168.10.13,192.168.10.10,78487,0.213406086,0.214926958,0.0015208720000000064,1.5208720000000064,0.0
55133,192.168.10.13,192.168.10.10,78487,0.227323055,0.228636026,0.0013129709999999961,1.3129709999999961,0.0
58322,192.168.10.13,192.168.10.10,78487,0.235433102,0.236783981,0.0013508789999999993,1.3508789999999993,0.0
35721,192.168.10.13,192.168.10.10,78553,0.242433071,0.243808031,0.0013749600000000084,1.3749600000000084,0.0
46949,192.168.10.13,192.168.10.10,78487,0.252789974,0.254383087,0.0015931130000000349,1.5931130000000349,0.0
33870,192.168.10.13,192.168.10.10,78487,0.262977123,0.264058113,0.001080990000000004,1.080990000000004,0.0
36473,192.168.10.13,192.168.10.10,78487,0.275228024,0.276865959,0.0016379349999999793,1.6379349999999793,0.0
38776,192.168.10.13,192.168.10.10,78619,0.281327009,0.282927036,0.0016000270000000039,1.6000270000000039,0.0
40911,192.168.10.13,192.168.10.10,78487,0.29234004,0.293702126,0.0013620859999999846,1.3620859999999846,0.0
36844,192.168.10.13,192.168.10.10,78487,0.303561926,0.30501914,0.00145721400000004,1.45721400000004,0.0
54232,192.168.10.13,192.168.10.10,78487,0.312153101,0.313349009,0.0011959080000000233,1.1959080000000233,0.0
56207,192.168.10.13,192.168.10.10,78487,0.327809095,0.329191923,0.0013828280000000026,1.3828280000000026,0.0
40518,192.168.10.13,192.168.10.10,78487,0.333917141,0.335390091,0.0014729500000000284,1.4729500000000284,0.0
41834,192.168.10.13,192.168.10.10,78619,0.347208977,0.348947048,0.0017380710000000077,1.7380710000000077,0.0
44689,192.168.10.13,192.168.10.10,78487,0.35651207,0.357506037,0.0009939669999999845,0.9939669999999845,0.0
