src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms],[Mb/s]
40164,192.168.10.13,192.168.10.10,1163986384,0.0,10.00843215,10.00843215,10008.43215,0.0
40221,192.168.10.13,192.168.10.10,78487,0.887341976,0.890514135,0.0031721590000000077,3.1721590000000077,0.0
42764,192.168.10.13,192.168.10.10,78553,0.889183044,0.892503023,0.0033199789999999174,3.3199789999999174,0.0
48498,192.168.10.13,192.168.10.10,78487,0.908450127,0.911296129,0.0028460019999999586,2.8460019999999586,0.0
35499,192.168.10.13,192.168.10.10,78487,0.916958094,0.919788122,0.0028300280000000955,2.8300280000000955,0.0
40669,192.168.10.13,192.168.10.10,78487,0.925292969,0.928375006,0.003082036999999982,3.082036999999982,0.0
35650,192.168.10.13,192.168.10.10,78487,0.936850071,0.940431118,0.0035810470000000594,3.5810470000000594,0.0
35273,192.168.10.13,192.168.10.10,78487,0.93710804,0.940808058,0.0037000179999999716,3.7000179999999716,0.0
49837,192.168.10.13,192.168.10.10,78487,0.958022118,0.96112299,0.0031008719999999768,3.1008719999999768,0.0
43320,192.168.10.13,192.168.10.10,78487,0.96628809,0.969079018,0.002790927999999915,2.790927999999915,0.0
38917,192.168.10.13,192.168.10.10,78487,0.974546194,0.977715015,0.003168821000000044,3.168821000000044,0.0
36360,192.168.10.13,192.168.10.10,78553,0.988062143,0.990833044,0.0027709010000001033,2.7709010000001033,0.0
57652,192.168.10.13,192.168.10.10,78487,0.99409318,0.996905088,0.002811907999999974,2.811907999999974,0.0
45746,192.168.10.13,192.168.10.10,78487,1.004818201,1.007623196,0.002804994999999977,2.804994999999977,0.0
50426,192.168.10.13,192.168.10.10,78487,1.011270046,1.014003038,0.0027329920000001007,2.7329920000001007,0.0
48226,192.168.10.13,192.168.10.10,78553,1.028721094,1.031522989,0.002801894999999943,2.801894999999943,0.0
36584,192.168.10.13,192.168.10.10,78487,1.034224987,1.037240028,0.0030150410000000516,3.0150410000000516,0.0
60153,192.168.10.13,192.168.10.10,78487,1.041177034,1.044183969,0.003006935000000155,3.006935000000155,0.0
42571,192.168.10.13,192.168.10.10,78487,1.060674191,1.063449144,0.00277495300000008,2.77495300000008,0.0
38151,192.168.10.13,192.168.10.10,78487,1.070661068,1.073419094,0.002758025999999969,2.758025999999969,0.0
49418,192.168.10.13,192.168.10.10,78487,1.079967022,1.082642078,0.0026750559999999535,2.6750559999999535,0.0
40108,192.168.10.13,192.168.10.10,78553,1.089817047,1.092738152,0.0029211049999999794,2.9211049999999794,0.0
55886,192.168.10.13,192.168.10.10,78487,1.097951174,1.100667,0.0027158259999999768,2.7158259999999768,0.0
59075,192.168.10.13,192.168.10.10,78487,1.108256102,1.11107111,0.0028150080000000077,2.8150080000000077,0.0
36474,192.168.10.13,192.168.10.10,78487,1.115257025,1.118162155,0.0029051300000000335,2.9051300000000335,0.0
47702,192.168.10.13,192.168.10.10,78553,1.12512517,1.128111124,0.002985953999999902,2.985953999999902,0.0
34623,192.168.10.13,192.168.10.10,78487,1.135550976,1.138315201,0.0027642249999999535,2.7642249999999535,0.0
37226,192.168.10.13,192.168.10.10,78487,1.147070169,1.149827003,0.0027568339999999303,2.7568339999999303,0.0
39529,192.168.10.13,192.168.10.10,78487,1.153267145,1.156045198,0.0027780529999998915,2.7780529999998915,0.0
41664,192.168.10.13,192.168.10.10,78487,1.169052124,1.172087193,0.003035069000000057,3.035069000000057,0.0
37597,192.168.10.13,192.168.10.10,78487,1.179556131,1.182512045,0.0029559139999999484,2.9559139999999484,0.0
54985,192.168.10.13,192.168.10.10,78487,1.183320999,1.186329126,0.0030081269999999716,3.0081269999999716,0.0
56960,192.168.10.13,192.168.10.10,78487,1.196762085,1.199579,0.00281691499999992,2.81691499999992,0.0
41271,192.168.10.13,192.168.10.10,78487,1.204500198,1.207386971,0.0028867729999999536,2.8867729999999536,0.0
42587,192.168.10.13,192.168.10.10,78487,1.213919163,1.216614008,0.002694845000000168,2.694845000000168,0.0
45442,192.168.10.13,192.168.10.10,78487,1.228597164,1.231351137,0.0027539730000001317,2.7539730000001317,0.0
53229,192.168.10.13,192.168.10.10,78553,1.235527039,1.238398075,0.00287103600000016,2.87103600000016,0.0
33278,192.168.10.13,192.168.10.10,78487,1.246519089,1.249236107,0.0027170180000000155,2.7170180000000155,0.0
40711,192.168.10.13,192.168.10.10,78553,1.260332108,1.263262033,0.002929924999999889,2.929924999999889,0.0
46984,192.168.10.13,192.168.10.10,78487,1.268706083,1.271337032,0.002630948999999827,2.630948999999827,0.0
36306,192.168.10.13,192.168.10.10,78487,1.274610996,1.277420044,0.002809048000000036,2.809048000000036,0.0
54882,192.168.10.13,192.168.10.10,78487,1.289843082,1.292608976,0.0027658939999999355,2.7658939999999355,0.0
58024,192.168.10.13,192.168.10.10,78487,1.29458499,1.29737401,0.002789020000000031,2.789020000000031,0.0
60812,192.168.10.13,192.168.10.10,78487,1.308819056,1.311588049,0.0027689930000001084,2.7689930000001084,0.0
51291,192.168.10.13,192.168.10.10,78553,1.315574169,1.31824398,0.0026698110000000774,2.6698110000000774,0.0
60258,192.168.10.13,192.168.10.10,78487,1.327212095,1.329915047,0.0027029520000001472,2.7029520000001472,0.0
57595,192.168.10.13,192.168.10.10,78553,1.339581013,1.342247009,0.0026659959999999483,2.6659959999999483,0.0
47695,192.168.10.13,192.168.10.10,78487,1.343521118,1.346305132,0.002784013999999946,2.784013999999946,0.0
40862,192.168.10.13,192.168.10.10,78487,1.360231161,1.363020182,0.0027890210000001137,2.7890210000001137,0.0
45309,192.168.10.13,192.168.10.10,78487,1.36572814,1.368561983,0.0028338429999998915,2.8338429999998915,0.0
38329,192.168.10.13,192.168.10.10,78487,1.378506184,1.381225109,0.0027189250000001497,2.7189250000001497,0.0
56037,192.168.10.13,192.168.10.10,78487,1.389907122,1.392699003,0.0027918809999998295,2.7918809999998295,0.0
55845,192.168.10.13,192.168.10.10,78553,1.392187119,1.394912004,0.0027248850000001212,2.7248850000001212,0.0
42198,192.168.10.13,192.168.10.10,78553,1.411096096,1.413973093,0.0028769969999999923,2.8769969999999923,0.0
51566,192.168.10.13,192.168.10.10,78487,1.419325113,1.422077179,0.0027520659999999975,2.7520659999999975,0.0
47801,192.168.10.13,192.168.10.10,78553,1.42772603,1.430662155,0.002936124999999956,2.936124999999956,0.0
35257,192.168.10.13,192.168.10.10,78553,1.43986702,1.443223,0.003355979999999814,3.355979999999814,0.0
43112,192.168.10.13,192.168.10.10,78487,1.440108061,1.4436481,0.003540038999999995,3.540038999999995,0.0
44605,192.168.10.13,192.168.10.10,78487,1.460651159,1.463713169,0.0030620100000000594,3.0620100000000594,0.0
46289,192.168.10.13,192.168.10.10,78487,1.468721151,1.471613169,0.0028920180000000517,2.8920180000000517,0.0
59188,192.168.10.13,192.168.10.10,78487,1.477108002,1.479911089,0.002803086999999982,2.803086999999982,0.0
59382,192.168.10.13,192.168.10.10,78553,1.490373135,1.493386984,0.003013849000000013,3.013849000000013,0.0
50195,192.168.10.13,192.168.10.10,78487,1.496395111,1.499155998,0.0027608869999999897,2.7608869999999897,0.0
42409,192.168.10.13,192.168.10.10,78487,1.507361174,1.510157108,0.002795934000000111,2.795934000000111,0.0
41483,192.168.10.13,192.168.10.10,78487,1.513417006,1.516162157,0.0027451509999998347,2.7451509999998347,0.0
53368,192.168.10.13,192.168.10.10,78487,1.531110048,1.533933163,0.002823114999999987,2.823114999999987,0.0
41222,192.168.10.13,192.168.10.10,78487,1.536607981,1.539252996,0.0026450150000001393,2.6450150000001393,0.0
40473,192.168.10.13,192.168.10.10,78487,1.543692112,1.546480179,0.002788067000000005,2.788067000000005,0.0
50996,192.168.10.13,192.168.10.10,78487,1.563179016,1.566212177,0.00303316099999984,3.03316099999984,0.0
36863,192.168.10.13,192.168.10.10,78487,1.573244095,1.576131105,0.002887010000000023,2.887010000000023,0.0
50536,192.168.10.13,192.168.10.10,78487,1.582333088,1.585151196,0.0028181080000000414,2.8181080000000414,0.0
33357,192.168.10.13,192.168.10.10,78553,1.592327118,1.594995022,0.002667903999999943,2.667903999999943,0.0
38291,192.168.10.13,192.168.10.10,78487,1.6001122,1.603062153,0.002949952999999894,2.949952999999894,0.0
55007,192.168.10.13,192.168.10.10,78487,1.610491037,1.61327219,0.002781152999999925,2.781152999999925,0.0
53127,192.168.10.13,192.168.10.10,78487,1.617702007,1.6204741,0.00277209299999992,2.77209299999992,0.0
54519,192.168.10.13,192.168.10.10,78487,1.627748013,1.630416155,0.0026681420000000955,2.6681420000000955,0.0
60500,192.168.10.13,192.168.10.10,78487,1.637873173,1.640655041,0.0027818680000000207,2.7818680000000207,0.0
60540,192.168.10.13,192.168.10.10,78487,1.649388075,1.652168036,0.0027799609999998864,2.7799609999998864,0.0
45913,192.168.10.13,192.168.10.10,78553,1.655620098,1.658400059,0.0027799610000001085,2.7799610000001085,0.0
43162,192.168.10.13,192.168.10.10,78487,1.671364069,1.67413497,0.0027709009999998813,2.7709009999998813,0.0
48562,192.168.10.13,192.168.10.10,78487,1.682106018,1.685101032,0.002995013999999907,2.995013999999907,0.0
55295,192.168.10.13,192.168.10.10,78487,1.685841084,1.688646078,0.002804994000000116,2.804994000000116,0.0
49531,192.168.10.13,192.168.10.10,78487,1.699104071,1.701893091,0.002789020000000031,2.789020000000031,0.0
42642,192.168.10.13,192.168.10.10,78487,1.707071066,1.709867001,0.0027959350000001937,2.7959350000001937,0.0
46622,192.168.10.13,192.168.10.10,78487,1.715850115,1.718646049,0.002795933999999889,2.795933999999889,0.0
53143,192.168.10.13,192.168.10.10,78487,1.730834007,1.733618975,0.0027849680000000543,2.7849680000000543,0.0
49703,192.168.10.13,192.168.10.10,78487,1.738064051,1.740881205,0.002817153999999933,2.817153999999933,0.0
60518,192.168.10.13,192.168.10.10,78487,1.748799086,1.751641035,0.0028419490000000103,2.8419490000000103,0.0
47838,192.168.10.13,192.168.10.10,78487,1.762793064,1.765310049,0.0025169849999999716,2.5169849999999716,0.0
38435,192.168.10.13,192.168.10.10,78487,1.771216154,1.773936033,0.002719879000000036,2.719879000000036,0.0
34753,192.168.10.13,192.168.10.10,78487,1.776854038,1.779466152,0.002612113999999943,2.612113999999943,0.0
36367,192.168.10.13,192.168.10.10,78487,1.792097092,1.794880152,0.0027830600000000594,2.7830600000000594,0.0
47007,192.168.10.13,192.168.10.10,78553,1.797118187,1.799965143,0.002846956000000178,2.846956000000178,0.0
55544,192.168.10.13,192.168.10.10,78487,1.811148167,1.814182043,0.0030338759999999354,3.0338759999999354,0.0
33889,192.168.10.13,192.168.10.10,78487,1.817898035,1.820851088,0.0029530529999999278,2.9530529999999278,0.0
58395,192.168.10.13,192.168.10.10,78487,1.829423189,1.832252979,0.002829790000000054,2.829790000000054,0.0
44457,192.168.10.13,192.168.10.10,78487,1.841917038,1.845014095,0.0030970569999999586,3.0970569999999586,0.0
34454,192.168.10.13,192.168.10.10,78487,1.845895052,1.848812103,0.0029170510000000593,2.9170510000000593,0.0
46088,192.168.10.13,192.168.10.10,78487,1.862698078,1.865394115,0.0026960369999999845,2.6960369999999845,0.0
54759,192.168.10.13,192.168.10.10,78553,1.86810112,1.870908022,0.002806902000000111,2.806902000000111,0.0
36492,192.168.10.13,192.168.10.10,78487,1.880848169,1.883640051,0.0027918819999999123,2.7918819999999123,0.0
51199,192.168.10.13,192.168.10.10,78487,1.892369032,1.895030022,0.0026609900000000852,2.6609900000000852,0.0
45538,192.168.10.13,192.168.10.10,78487,1.894873142,1.897766113,0.0028929710000000775,2.8929710000000775,0.0
57953,192.168.10.13,192.168.10.10,78487,1.913541079,1.916284084,0.0027430049999999095,2.7430049999999095,0.0
57199,192.168.10.13,192.168.10.10,78487,1.921725988,1.924238205,0.0025122170000000388,2.512217000000039,0.0
50707,192.168.10.13,192.168.10.10,78487,1.930431128,1.933197975,0.002766846999999961,2.766846999999961,0.0
52264,192.168.10.13,192.168.10.10,78487,1.942653179,1.946017981,0.003364802000000111,3.364802000000111,0.0
43602,192.168.10.13,192.168.10.10,78487,1.942906141,1.946264029,0.003357888000000031,3.357888000000031,0.0
47606,192.168.10.13,192.168.10.10,78487,1.963196993,1.965891123,0.0026941300000000723,2.6941300000000723,0.0
41599,192.168.10.13,192.168.10.10,78487,1.971105099,1.97381115,0.002706050999999876,2.706050999999876,0.0
52323,192.168.10.13,192.168.10.10,78487,1.979242086,1.982197046,0.002954960000000062,2.954960000000062,0.0
43582,192.168.10.13,192.168.10.10,78487,1.992882013,1.995685101,0.0028030880000000646,2.8030880000000646,0.0
53442,192.168.10.13,192.168.10.10,78487,1.998857975,2.001661062,0.002803087000000204,2.803087000000204,0.0
33124,192.168.10.13,192.168.10.10,78487,2.009868145,2.012659073,0.002790928000000026,2.790928000000026,0.0
46962,192.168.10.13,192.168.10.10,78487,2.015861034,2.018680096,0.002819062000000372,2.819062000000372,0.0
44344,192.168.10.13,192.168.10.10,78487,2.033380032,2.036350012,0.0029699800000000387,2.9699800000000387,0.0
43165,192.168.10.13,192.168.10.10,78487,2.038885117,2.041829109,0.002943992000000062,2.943992000000062,0.0
35256,192.168.10.13,192.168.10.10,78487,2.046009064,2.048695087,0.002686022999999871,2.686022999999871,0.0
41286,192.168.10.13,192.168.10.10,78487,2.065631151,2.068626165,0.002995014000000129,2.995014000000129,0.0
43249,192.168.10.13,192.168.10.10,78487,2.075568199,2.078592062,0.0030238629999996824,3.0238629999996824,0.0
50559,192.168.10.13,192.168.10.10,78487,2.084825993,2.087656021,0.0028300279999999844,2.8300279999999844,0.0
52122,192.168.10.13,192.168.10.10,78487,2.094498158,2.097581148,0.0030829900000002297,3.0829900000002297,0.0
59741,192.168.10.13,192.168.10.10,78487,2.102593184,2.10542798,0.0028347960000001393,2.8347960000001393,0.0
38341,192.168.10.13,192.168.10.10,78487,2.112842083,2.115568161,0.0027260780000002427,2.7260780000002427,0.0
54419,192.168.10.13,192.168.10.10,78553,2.119964123,2.122884035,0.002919911999999858,2.919911999999858,0.0
37292,192.168.10.13,192.168.10.10,78487,2.130042076,2.132791996,0.0027499199999998503,2.7499199999998503,0.0
42243,192.168.10.13,192.168.10.10,78487,2.140228987,2.143110991,0.002882003999999938,2.882003999999938,0.0
53131,192.168.10.13,192.168.10.10,78487,2.151691198,2.154451132,0.002759934000000186,2.759934000000186,0.0
41242,192.168.10.13,192.168.10.10,78487,2.157740116,2.160459042,0.0027189260000000104,2.7189260000000104,0.0
35859,192.168.10.13,192.168.10.10,78487,2.17374301,2.176815987,0.0030729769999999768,3.0729769999999768,0.0
35251,192.168.10.13,192.168.10.10,78487,2.184408188,2.187255144,0.002846955999999956,2.846955999999956,0.0
54841,192.168.10.13,192.168.10.10,78487,2.188275099,2.190853119,0.0025780199999996256,2.5780199999996256,0.0
60228,192.168.10.13,192.168.10.10,78487,2.20134306,2.204092026,0.002748965999999964,2.748965999999964,0.0
48851,192.168.10.13,192.168.10.10,78487,2.209285975,2.212455034,0.003169059000000196,3.169059000000196,0.0
59560,192.168.10.13,192.168.10.10,78487,2.218216181,2.221129179,0.002912998000000222,2.912998000000222,0.0
54816,192.168.10.13,192.168.10.10,78487,2.23308897,2.236113071,0.003024101000000279,3.024101000000279,0.0
50135,192.168.10.13,192.168.10.10,78487,2.240363121,2.243192196,0.0028290749999997367,2.8290749999997367,0.0
57281,192.168.10.13,192.168.10.10,78487,2.251147985,2.253753185,0.0026052000000000852,2.6052000000000852,0.0
42097,192.168.10.13,192.168.10.10,78487,2.264932156,2.26763916,0.002707003999999902,2.707003999999902,0.0
42418,192.168.10.13,192.168.10.10,78487,2.27343297,2.276204109,0.0027711390000000335,2.7711390000000335,0.0
36013,192.168.10.13,192.168.10.10,78487,2.279132128,2.281753063,0.0026209349999999354,2.6209349999999354,0.0
35090,192.168.10.13,192.168.10.10,78487,2.29440403,2.297216177,0.002812147000000209,2.812147000000209,0.0
48564,192.168.10.13,192.168.10.10,78487,2.299605131,2.302512169,0.0029070380000000284,2.9070380000000284,0.0
52047,192.168.10.13,192.168.10.10,78487,2.313593149,2.316508055,0.002914905999999995,2.914905999999995,0.0
55259,192.168.10.13,192.168.10.10,78487,2.320336103,2.323466063,0.0031299600000003203,3.1299600000003203,0.0
54287,192.168.10.13,192.168.10.10,78553,2.33190608,2.334829092,0.0029230120000001136,2.9230120000001136,0.0
48416,192.168.10.13,192.168.10.10,78553,2.344346046,2.347477198,0.003131151999999915,3.131151999999915,0.0
42636,192.168.10.13,192.168.10.10,78487,2.348262072,2.351016998,0.0027549260000001574,2.7549260000001574,0.0
55325,192.168.10.13,192.168.10.10,78487,2.364945173,2.367771149,0.002825976000000008,2.825976000000008,0.0
60068,192.168.10.13,192.168.10.10,78487,2.370448112,2.373383999,0.002935887000000026,2.935887000000026,0.0
41270,192.168.10.13,192.168.10.10,78487,2.383058071,2.385848999,0.0027909279999995817,2.7909279999995817,0.0
56363,192.168.10.13,192.168.10.10,78487,2.394630194,2.397494078,0.0028638839999999277,2.8638839999999277,0.0
57939,192.168.10.13,192.168.10.10,78553,2.397425175,2.400561094,0.003135918999999987,3.135918999999987,0.0
51104,192.168.10.13,192.168.10.10,78487,2.415955067,2.418801069,0.0028460020000000696,2.8460020000000696,0.0
58093,192.168.10.13,192.168.10.10,78487,2.424015999,2.426642179,0.0026261800000000335,2.6261800000000335,0.0
54732,192.168.10.13,192.168.10.10,78553,2.432703972,2.435829163,0.0031251910000000827,3.1251910000000827,0.0
49547,192.168.10.13,192.168.10.10,78487,2.445084095,2.448297024,0.003212929000000031,3.212929000000031,0.0
54214,192.168.10.13,192.168.10.10,78487,2.445556164,2.448791027,0.0032348629999998657,3.2348629999998657,0.0
49936,192.168.10.13,192.168.10.10,78553,2.46541214,2.468288183,0.0028760429999996617,2.8760429999996617,0.0
34345,192.168.10.13,192.168.10.10,78487,2.473492146,2.476248026,0.002755880000000044,2.755880000000044,0.0
35417,192.168.10.13,192.168.10.10,78553,2.48161912,2.484533072,0.0029139520000001085,2.9139520000001085,0.0
32908,192.168.10.13,192.168.10.10,78487,2.495194197,2.49804616,0.002851962999999902,2.851962999999902,0.0
37069,192.168.10.13,192.168.10.10,78487,2.501156092,2.50385499,0.002698897999999783,2.698897999999783,0.0
39615,192.168.10.13,192.168.10.10,78487,2.512216091,2.515040159,0.002824068000000235,2.824068000000235,0.0
33380,192.168.10.13,192.168.10.10,78487,2.518208027,2.521017075,0.002809048000000036,2.809048000000036,0.0
52048,192.168.10.13,192.168.10.10,78487,2.535900116,2.538712978,0.0028128619999998605,2.8128619999998605,0.0
37518,192.168.10.13,192.168.10.10,78487,2.541465998,2.544023037,0.0025570390000000387,2.5570390000000387,0.0
54892,192.168.10.13,192.168.10.10,78487,2.548201084,2.551081181,0.002880096999999804,2.880096999999804,0.0
41573,192.168.10.13,192.168.10.10,78487,2.568130016,2.570842981,0.002712965000000178,2.712965000000178,0.0
38047,192.168.10.13,192.168.10.10,78487,2.577910185,2.580746174,0.0028359890000002608,2.8359890000002608,0.0
56641,192.168.10.13,192.168.10.10,78487,2.586959124,2.589876175,0.0029170510000002814,2.9170510000002814,0.0
36473,192.168.10.13,192.168.10.10,78487,2.596903086,2.599596977,0.0026938909999998373,2.6938909999998373,0.0
60934,192.168.10.13,192.168.10.10,78553,2.604890108,2.607702971,0.0028128629999999433,2.8128629999999433,0.0
48063,192.168.10.13,192.168.10.10,78487,2.61513114,2.618069172,0.0029380319999998683,2.9380319999998683,0.0
55841,192.168.10.13,192.168.10.10,78487,2.622390032,2.625143051,0.002753018999999579,2.753018999999579,0.0
51892,192.168.10.13,192.168.10.10,78487,2.632328033,2.635092974,0.0027649410000001318,2.7649410000001318,0.0
53841,192.168.10.13,192.168.10.10,78487,2.642614126,2.645652056,0.0030379300000000775,3.0379300000000775,0.0
57406,192.168.10.13,192.168.10.10,78487,2.654061079,2.657145023,0.003083944000000116,3.083944000000116,0.0
59683,192.168.10.13,192.168.10.10,78553,2.6600492,2.662801981,0.002752780999999871,2.752780999999871,0.0
45437,192.168.10.13,192.168.10.10,78487,2.676301003,2.679099083,0.002798080000000258,2.798080000000258,0.0
52731,192.168.10.13,192.168.10.10,78487,2.686878204,2.689642191,0.0027639869999998012,2.7639869999998012,0.0
34644,192.168.10.13,192.168.10.10,78487,2.690352201,2.693397999,0.003045798000000044,3.045798000000044,0.0
44587,192.168.10.13,192.168.10.10,78487,2.703582048,2.706228018,0.0026459700000001085,2.6459700000001085,0.0
51742,192.168.10.13,192.168.10.10,78487,2.711657047,2.714256048,0.0025990010000001007,2.5990010000001007,0.0
53919,192.168.10.13,192.168.10.10,78487,2.720667124,2.723406076,0.002738951999999628,2.738951999999628,0.0
42054,192.168.10.13,192.168.10.10,78487,2.735660076,2.738605022,0.0029449460000003924,2.9449460000003924,0.0
34584,192.168.10.13,192.168.10.10,78487,2.742544174,2.745342016,0.002797842000000106,2.797842000000106,0.0
48372,192.168.10.13,192.168.10.10,78487,2.753287077,2.756106138,0.002819060999999845,2.819060999999845,0.0
36763,192.168.10.13,192.168.10.10,78487,2.767522097,2.770339012,0.00281691499999992,2.81691499999992,0.0
47741,192.168.10.13,192.168.10.10,78487,2.775538206,2.778218031,0.002679825000000413,2.679825000000413,0.0
