src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms],[Mb/s]
37942,192.168.10.13,192.168.10.10,75253,0.0,0.00710988,0.00710988,7.1098799999999995,0.0
47577,192.168.10.13,192.168.10.10,75385,0.00787282,0.014817953,0.006945132999999999,6.945132999999999,0.0
44548,192.168.10.13,192.168.10.10,75781,0.013796806,0.020813942,0.0070171359999999985,7.017135999999998,0.0
58266,192.168.10.13,192.168.10.10,75517,0.020825863,0.027783871,0.006958008000000002,6.958008000000001,0.0
49592,192.168.10.13,192.168.10.10,75385,0.041394949,0.048437834,0.007042884999999999,7.042884999999998,0.0
57237,192.168.10.13,192.168.10.10,75385,0.049596786,0.057788849,0.008192063000000006,8.192063000000006,0.0
34041,192.168.10.13,192.168.10.10,75649,0.054013968,0.062528849,0.008514880999999995,8.514880999999995,0.0
43639,192.168.10.13,192.168.10.10,75517,0.070227861,0.077171803,0.006943941999999995,6.9439419999999945,0.0
53582,192.168.10.13,192.168.10.10,75385,0.0798738,0.086810827,0.006937026999999998,6.937026999999999,0.0
59186,192.168.10.13,192.168.10.10,75385,0.089693785,0.096637964,0.006944179000000009,6.944179000000009,0.0
44686,192.168.10.13,192.168.10.10,75253,0.10094285,0.107870817,0.006927966999999993,6.9279669999999935,0.0
44140,192.168.10.13,192.168.10.10,75781,0.107120991,0.113881826,0.006760835000000007,6.760835000000006,0.0
44651,192.168.10.13,192.168.10.10,75517,0.118142843,0.125100851,0.0069580080000000155,6.9580080000000155,0.0
53495,192.168.10.13,192.168.10.10,75385,0.127703905,0.134647846,0.006943940999999981,6.943940999999981,0.0
54239,192.168.10.13,192.168.10.10,75253,0.141089916,0.148058891,0.006968974999999988,6.968974999999988,0.0
55653,192.168.10.13,192.168.10.10,75253,0.148508787,0.155519962,0.007011175000000008,7.011175000000009,0.0
39925,192.168.10.13,192.168.10.10,75385,0.159772873,0.166704893,0.006932019999999983,6.932019999999984,0.0
53827,192.168.10.13,192.168.10.10,75385,0.170727015,0.17770195,0.006974934999999988,6.974934999999988,0.0
52218,192.168.10.13,192.168.10.10,75385,0.178245783,0.185216904,0.006971120999999997,6.971120999999997,0.0
56501,192.168.10.13,192.168.10.10,75385,0.191442966,0.198416948,0.0069739820000000174,6.973982000000017,0.0
