src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms],[Mb/s]
38442,192.168.10.13,192.168.10.10,76913,2.80665803,2.816972017,0.010313986999999969,10.313986999999969,0.0
34557,192.168.10.13,192.168.10.10,76573,2.829302073,2.838578939,0.009276865999999995,9.276865999999995,0.0
58765,192.168.10.13,192.168.10.10,76837,2.839752913,2.849021912,0.009268999000000111,9.268999000000111,0.0
42476,192.168.10.13,192.168.10.10,76045,2.850991964,2.859705925,0.008713961000000214,8.713961000000214,0.0
34540,192.168.10.13,192.168.10.10,76309,2.861515999,2.87057209,0.009056091000000155,9.056091000000155,0.0
59683,192.168.10.13,192.168.10.10,76573,2.880520105,2.889605999,0.009085894000000039,9.085894000000039,0.0
45146,192.168.10.13,192.168.10.10,76177,2.88961792,2.902481079,0.012863159000000124,12.863159000000124,0.0
48409,192.168.10.13,192.168.10.10,76233,2.889641047,2.90448904,0.01484799300000006,14.84799300000006,0.0
55285,192.168.10.13,192.168.10.10,75253,2.911375999,2.918371916,0.006995916999999796,6.995916999999796,0.0
56148,192.168.10.13,192.168.10.10,74989,2.917838097,2.929867029,0.01202893199999977,12.02893199999977,0.0
53654,192.168.10.13,192.168.10.10,75517,2.918382883,2.930612087,0.012229204000000049,12.229204000000049,0.0
52712,192.168.10.13,192.168.10.10,76177,2.937000036,2.945587873,0.008587836999999876,8.587836999999876,0.0
53885,192.168.10.13,192.168.10.10,76309,2.950951099,2.960429907,0.009478807999999894,9.478807999999894,0.0
38810,192.168.10.13,192.168.10.10,76177,2.960958004,2.970494986,0.00953698199999975,9.53698199999975,0.0
34708,192.168.10.13,192.168.10.10,76441,2.970515013,2.980231047,0.009716034000000207,9.716034000000207,0.0
47859,192.168.10.13,192.168.10.10,77125,2.979718924,2.994807005,0.015088081000000031,15.088081000000031,0.0
39838,192.168.10.13,192.168.10.10,76573,2.989495039,2.999337912,0.009842873000000196,9.842873000000196,0.0
58302,192.168.10.13,192.168.10.10,76045,3.000690937,3.009815931,0.009124993999999997,9.124993999999997,0.0
50192,192.168.10.13,192.168.10.10,76441,3.009349108,3.018450022,0.009100914000000238,9.100914000000238,0.0
57058,192.168.10.13,192.168.10.10,76729,3.01957798,3.047086,0.027508019999999966,27.508019999999966,0.0
51642,192.168.10.13,192.168.10.10,76873,3.030484915,3.042275906,0.011790990999999806,11.790990999999806,0.0
33414,192.168.10.13,192.168.10.10,77449,3.041683912,3.054671049,0.012987137000000093,12.987137000000093,0.0
40315,192.168.10.13,192.168.10.10,77165,3.050035,3.062443018,0.012408018000000354,12.408018000000354,0.0
37630,192.168.10.13,192.168.10.10,76837,3.061067104,3.071876049,0.010808944999999959,10.808944999999959,0.0
58437,192.168.10.13,192.168.10.10,77041,3.071613073,3.085824013,0.014210939999999894,14.210939999999894,0.0
43137,192.168.10.13,192.168.10.10,77609,3.074573994,3.092758894,0.01818490000000006,18.18490000000006,0.0
44583,192.168.10.13,192.168.10.10,77101,3.089261055,3.100528955,0.011267899999999997,11.267899999999997,0.0
54376,192.168.10.13,192.168.10.10,76177,3.099320889,3.109836102,0.010515213000000134,10.515213000000134,0.0
33336,192.168.10.13,192.168.10.10,76309,3.108263969,3.119297028,0.01103305900000029,11.03305900000029,0.0
38416,192.168.10.13,192.168.10.10,77409,3.117584944,3.130999088,0.013414143999999961,13.414143999999961,0.0
35724,192.168.10.13,192.168.10.10,76705,3.129036903,3.141022921,0.011986017999999987,11.986017999999987,0.0
59586,192.168.10.13,192.168.10.10,76573,3.14128089,3.151202917,0.009922027,9.922027,0.0
43041,192.168.10.13,192.168.10.10,76705,3.150939941,3.16140604,0.010466099000000284,10.466099000000284,0.0
49208,192.168.10.13,192.168.10.10,76441,3.161421061,3.171019077,0.009598015999999987,9.598015999999987,0.0
43635,192.168.10.13,192.168.10.10,76969,3.171223879,3.181222916,0.009999037000000044,9.999037000000044,0.0
35347,192.168.10.13,192.168.10.10,76045,3.179958105,3.192987919,0.01302981400000025,13.02981400000025,0.0
51628,192.168.10.13,192.168.10.10,76837,3.198606014,3.209616899,0.011010884999999693,11.010884999999693,0.0
55296,192.168.10.13,192.168.10.10,76705,3.209872007,3.220513105,0.010641098000000238,10.641098000000238,0.0
41743,192.168.10.13,192.168.10.10,76837,3.220789909,3.231750965,0.010961055999999747,10.961055999999747,0.0
60111,192.168.10.13,192.168.10.10,76573,3.230489969,3.241405964,0.010915994999999956,10.915994999999956,0.0
40030,192.168.10.13,192.168.10.10,77173,3.242080927,3.45785594,0.21577501300000002,215.775013,0.0
45301,192.168.10.13,192.168.10.10,76721,3.252432108,3.267788887,0.015356779000000209,15.35677900000021,0.0
56908,192.168.10.13,192.168.10.10,77557,3.261621952,3.278259039,0.016637086999999884,16.637086999999884,0.0
33860,192.168.10.13,192.168.10.10,76625,3.269931078,3.284595966,0.014664887999999987,14.664887999999987,0.0
44437,192.168.10.13,192.168.10.10,76705,3.280538082,3.293648958,0.013110875999999827,13.110875999999827,0.0
46487,192.168.10.13,192.168.10.10,76045,3.288958073,3.300398111,0.01144003799999993,11.44003799999993,0.0
51344,192.168.10.13,192.168.10.10,76573,3.300956964,3.31061697,0.009660005999999832,9.660005999999832,0.0
34542,192.168.10.13,192.168.10.10,76261,3.309132099,3.323678017,0.014545918000000047,14.545918000000047,0.0
40948,192.168.10.13,192.168.10.10,76537,3.312280893,3.325207949,0.012927056000000103,12.927056000000103,0.0
46268,192.168.10.13,192.168.10.10,75385,3.330256939,3.337188959,0.006932020000000261,6.932020000000261,0.0
44984,192.168.10.13,192.168.10.10,75385,3.340641975,3.347575903,0.006933928000000034,6.933928000000034,0.0
39055,192.168.10.13,192.168.10.10,75517,3.351881981,3.358808041,0.006926060000000067,6.926060000000067,0.0
53026,192.168.10.13,192.168.10.10,75385,3.362356901,3.369289875,0.006932974000000147,6.932974000000147,0.0
34004,192.168.10.13,192.168.10.10,75649,3.381402016,3.388330936,0.006928920000000005,6.928920000000005,0.0
33217,192.168.10.13,192.168.10.10,75649,3.390278101,3.402175903,0.011897802000000013,11.897802000000013,0.0
36993,192.168.10.13,192.168.10.10,75253,3.39030695,3.403176069,0.012869119000000317,12.869119000000317,0.0
60004,192.168.10.13,192.168.10.10,75517,3.412323952,3.419257879,0.006933926999999951,6.933926999999951,0.0
47634,192.168.10.13,192.168.10.10,75517,3.419270039,3.43097806,0.011708021000000013,11.708021000000013,0.0
55774,192.168.10.13,192.168.10.10,75385,3.41929388,3.431978941,0.012685060999999997,12.685060999999997,0.0
47720,192.168.10.13,192.168.10.10,75517,3.437907934,3.4448421,0.006934165999999742,6.934165999999742,0.0
43752,192.168.10.13,192.168.10.10,75517,3.451838017,3.459124088,0.007286070999999783,7.286070999999783,0.0
50754,192.168.10.13,192.168.10.10,75385,3.461977959,3.468982935,0.007004976000000163,7.004976000000163,0.0
46958,192.168.10.13,192.168.10.10,75385,3.471396923,3.478326082,0.00692915900000024,6.92915900000024,0.0
40675,192.168.10.13,192.168.10.10,75385,3.480407,3.487364054,0.006957053999999907,6.957053999999907,0.0
50553,192.168.10.13,192.168.10.10,75781,3.490421057,3.497606039,0.007184982000000062,7.184982000000062,0.0
50314,192.168.10.13,192.168.10.10,75385,3.50156498,3.508501053,0.006936072999999876,6.936072999999876,0.0
48092,192.168.10.13,192.168.10.10,75385,3.509989023,3.51691699,0.006927966999999757,6.927966999999757,0.0
56154,192.168.10.13,192.168.10.10,75649,3.520452023,3.527426958,0.0069749350000001265,6.9749350000001265,0.0
56712,192.168.10.13,192.168.10.10,76309,3.531430006,3.541142941,0.009712935000000034,9.712935000000034,0.0
49368,192.168.10.13,192.168.10.10,76705,3.542610884,3.553486109,0.010875224999999933,10.875224999999933,0.0
44112,192.168.10.13,192.168.10.10,76765,3.552864075,3.565808058,0.012943982999999992,12.943982999999992,0.0
40037,192.168.10.13,192.168.10.10,77501,3.572606087,3.587167978,0.014561891000000049,14.561891000000049,0.0
53415,192.168.10.13,192.168.10.10,76913,3.576978922,3.594966888,0.01798796600000019,17.98796600000019,0.0
44084,192.168.10.13,192.168.10.10,77197,3.5909729,3.62329793,0.03232502999999998,32.32502999999998,0.0
37932,192.168.10.13,192.168.10.10,76969,3.601871014,3.621294022,0.019423007999999964,19.423007999999964,0.0
60627,192.168.10.13,192.168.10.10,77185,3.610059977,3.628563881,0.018503903999999682,18.503903999999682,0.0
52006,192.168.10.13,192.168.10.10,75781,3.620131016,3.631028891,0.010897874999999946,10.897874999999946,0.0
47648,192.168.10.13,192.168.10.10,75649,3.630800962,3.637485027,0.006684064999999961,6.684064999999961,0.0
56957,192.168.10.13,192.168.10.10,75385,3.641937971,3.648875952,0.006937981000000093,6.937981000000093,0.0
38345,192.168.10.13,192.168.10.10,75385,3.651628971,3.658565998,0.0069370269999997625,6.9370269999997625,0.0
54167,192.168.10.13,192.168.10.10,75385,3.662051916,3.669019938,0.006968022000000129,6.968022000000129,0.0
38603,192.168.10.13,192.168.10.10,75385,3.671892881,3.678822994,0.0069301129999996824,6.930112999999682,0.0
59831,192.168.10.13,192.168.10.10,75385,3.680653095,3.687584877,0.0069317820000001085,6.9317820000001085,0.0
33968,192.168.10.13,192.168.10.10,75385,3.699536085,3.70646596,0.006929874999999974,6.929874999999974,0.0
55722,192.168.10.13,192.168.10.10,75385,3.710561037,3.717493057,0.006932019999999817,6.932019999999817,0.0
45558,192.168.10.13,192.168.10.10,75385,3.721688032,3.728619099,0.006931067000000013,6.931067000000013,0.0
37006,192.168.10.13,192.168.10.10,75517,3.731399059,3.738328934,0.006929874999999974,6.929874999999974,0.0
43431,192.168.10.13,192.168.10.10,75253,3.742971897,3.749912977,0.006941080000000266,6.941080000000266,0.0
48266,192.168.10.13,192.168.10.10,75385,3.753119946,3.760057926,0.00693798000000001,6.93798000000001,0.0
44174,192.168.10.13,192.168.10.10,75385,3.762373924,3.76930809,0.006934166000000186,6.934166000000186,0.0
53627,192.168.10.13,192.168.10.10,75253,3.770843029,3.77778697,0.006943941000000287,6.943941000000287,0.0
54151,192.168.10.13,192.168.10.10,75385,3.781251907,3.788183928,0.006932020999999899,6.932020999999899,0.0
34431,192.168.10.13,192.168.10.10,75649,3.789647102,3.79658103,0.006933928000000034,6.933928000000034,0.0
55656,192.168.10.13,192.168.10.10,75385,3.801902056,3.808834076,0.006932020000000261,6.932020000000261,0.0
42243,192.168.10.13,192.168.10.10,75781,3.810007095,3.819437027,0.009429932000000196,9.429932000000196,0.0
40601,192.168.10.13,192.168.10.10,75649,3.813677073,3.822936058,0.009258984999999775,9.258984999999775,0.0
36467,192.168.10.13,192.168.10.10,76837,3.831120014,3.840604067,0.009484052999999992,9.484052999999992,0.0
39126,192.168.10.13,192.168.10.10,76441,3.841506958,3.852267981,0.010761022999999703,10.761022999999703,0.0
54974,192.168.10.13,192.168.10.10,76997,3.853005886,3.866836071,0.013830184999999773,13.830184999999773,0.0
44959,192.168.10.13,192.168.10.10,77753,3.858181,3.879848003,0.02166700300000013,21.66700300000013,0.0
