src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms],[Mb/s]
,,,,,,,,
34844,10.10.255.10,10.10.91.2,136498095,105.818054,141.8502028,36.03214884,36032.14884,0
59746,10.10.255.10,10.10.91.9,136155619,89.41601491,97.10838389,7.692368984,7692.368984,0
53200,10.10.255.10,10.10.91.14,136081976,29.03585792,33.79078698,4.754929066,4754.929066,0
33260,10.10.255.10,10.10.91.8,135803013,97.1097908,105.81669,8.706899166,8706.899166,0
48779,10.10.255.10,10.10.91.7,135501482,33.79305792,47.01332593,13.22026801,13220.26801,0
33181,10.10.255.10,10.10.91.8,130732363,47.0146718,55.96332884,8.948657035,8948.657035,0
50872,10.10.255.10,10.10.91.13,129921444,141.8429689,145.53263,3.689661026,3689.661026,0
40200,10.10.255.10,10.10.91.4,124807527,55.96513796,89.42330694,33.45816898,33458.16898,0
48413,10.10.255.10,10.10.20.120,133363,88.89341784,89.20211387,0.308696032,308.696032,0
48490,10.10.255.10,10.10.20.120,133262,147.3392658,147.3820238,0.042757988,42.757988,0
48428,10.10.255.10,10.10.20.120,133165,103.407213,103.449698,0.042484998,42.484998,0
48452,10.10.255.10,10.10.20.120,133092,132.5351429,132.577142,0.041999101,41.999101,0
48438,10.10.255.10,10.10.20.120,133071,117.909236,117.953233,0.04399705,43.99705,0
48311,10.10.255.10,10.10.20.120,132991,14.85103989,14.89271092,0.041671038,41.671038,0
48511,10.10.255.10,10.10.20.120,132942,162.5897949,162.6315479,0.041753054,41.753054,0
48394,10.10.255.10,10.10.20.120,132782,74.50729084,74.54947996,0.042189121,42.189121,0
48325,10.10.255.10,10.10.20.120,132132,29.1366179,29.1781559,0.041538,41.538,0
48339,10.10.255.10,10.10.20.120,131848,44.09191895,44.13467002,0.042751074,42.751074,0
48354,10.10.255.10,10.10.20.120,131478,59.66644096,60.29721785,0.630776882,630.776882,0
48303,10.10.255.10,10.10.20.120,128503,0.26571393,0.303619862,0.037905932,37.905932,0
58263,10.10.255.10,10.10.91.13,3182,71.5487268,131.5627499,60.01402307,60014.02307,0
45720,10.10.255.10,10.10.91.3,2249,53.92087889,53.96320081,0.042321921,42.321921,0
47899,10.10.255.10,10.10.91.2,2249,53.92087889,53.96291184,0.042032957,42.032957,0
58622,10.10.255.10,10.10.91.4,2249,55.78286696,55.82501483,0.042147875,42.147875,0
37944,10.10.255.10,10.10.91.2,1795,71.54910088,131.6274469,60.07834601,60078.34601,0
43693,10.10.255.10,10.10.91.12,1794,71.54864883,131.5627849,60.01413608,60014.13608,0
60822,10.10.255.10,10.10.91.4,1793,71.54828095,131.6276679,60.07938695,60079.38695,0
38931,10.10.255.10,10.10.91.3,1793,71.5483098,131.6280119,60.07970214,60079.70214,0
38934,10.10.255.10,10.10.91.3,1793,71.54841089,131.6276629,60.079252,60079.252,0
39684,10.10.255.10,10.10.91.11,1793,71.54878092,131.5629129,60.01413202,60014.13202,0
60466,10.10.255.10,10.10.91.14,1793,71.54888701,131.562917,60.01402998,60014.02998,0
60835,10.10.255.10,10.10.91.4,1793,71.54916,131.627646,60.07848597,60078.48596,0
38946,10.10.255.10,10.10.91.3,1793,71.54923487,131.627506,60.07827115,60078.27115,0
35628,10.10.255.10,10.10.91.9,1793,71.54928398,131.5630338,60.01374984,60013.74984,0
43704,10.10.255.10,10.10.91.12,1793,71.54934001,131.5610199,60.01167989,60011.67989,0
49203,10.10.255.10,10.10.91.10,1793,71.54942679,131.5628309,60.01340413,60013.40413,0
41735,10.10.255.10,10.10.91.7,1792,71.54831886,131.5610399,60.01272106,60012.72106,0
35616,10.10.255.10,10.10.91.9,1792,71.54848599,131.5630369,60.01455093,60014.55093,0
