"No.","Time","D_Time","Source","Destination","Protocol","Length","Sequence num","Ack number","data len","Calculated window size","Info"
"1","0.000000s","0.000000s","192.168.0.41","192.168.0.42","TCP","74","0","","","29200","51233 > 49200 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=29549844 TSecr=0 WS=128"
"2","0.000050s","0.000050s","192.168.0.42","192.168.0.41","TCP","74","0","1","","28960","49200 > 51233 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=29571715 TSecr=29549844 WS=128"
"3","0.000197s","0.000147s","192.168.0.41","192.168.0.42","TCP","66","1","1","","29312","51233 > 49200 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=29549844 TSecr=29571715"
"4","0.000241s","0.000044s","192.168.0.41","192.168.0.42","TCP","1514","1","1","1448","29312","51233 > 49200 [ACK] Seq=1 Ack=1 Win=29312 Len=1448 TSval=29549844 TSecr=29571715"
"5","0.000261s","0.000020s","192.168.0.42","192.168.0.41","TCP","66","1","1449","","31872","49200 > 51233 [ACK] Seq=1 Ack=1449 Win=31872 Len=0 TSval=29571715 TSecr=29549844"
"6","0.000265s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","1449","1","1448","29312","51233 > 49200 [ACK] Seq=1449 Ack=1 Win=29312 Len=1448 TSval=29549844 TSecr=29571715"
"7","0.000278s","0.000013s","192.168.0.42","192.168.0.41","TCP","66","1","2897","","34816","49200 > 51233 [ACK] Seq=1 Ack=2897 Win=34816 Len=0 TSval=29571715 TSecr=29549844"
"8","0.000281s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","2897","1","1448","29312","51233 > 49200 [ACK] Seq=2897 Ack=1 Win=29312 Len=1448 TSval=29549844 TSecr=29571715"
"9","0.000294s","0.000013s","192.168.0.42","192.168.0.41","TCP","66","1","4345","","37760","49200 > 51233 [ACK] Seq=1 Ack=4345 Win=37760 Len=0 TSval=29571715 TSecr=29549844"
"10","0.000296s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","4345","1","1448","29312","51233 > 49200 [ACK] Seq=4345 Ack=1 Win=29312 Len=1448 TSval=29549844 TSecr=29571715"
"11","0.000303s","0.000007s","192.168.0.42","192.168.0.41","TCP","66","1","5793","","40576","49200 > 51233 [ACK] Seq=1 Ack=5793 Win=40576 Len=0 TSval=29571715 TSecr=29549844"
"12","0.000305s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","5793","1","1448","29312","51233 > 49200 [ACK] Seq=5793 Ack=1 Win=29312 Len=1448 TSval=29549844 TSecr=29571715"
"13","0.000312s","0.000007s","192.168.0.42","192.168.0.41","TCP","66","1","7241","","43520","49200 > 51233 [ACK] Seq=1 Ack=7241 Win=43520 Len=0 TSval=29571715 TSecr=29549844"
