src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms],[Mb/s]
51878,192.168.0.41,192.168.0.42,1114783,0.0,0.010657072,0.010657072,10.657072,0.0
37019,192.168.0.41,192.168.0.42,1121977,0.018278122,0.035077095,0.016798973000000002,16.798973,0.0
46676,192.168.0.41,192.168.0.42,1108051,0.04262805,0.057755947,0.015127897000000001,15.127897,0.0
47494,192.168.0.41,192.168.0.42,1108579,0.065048933,0.086758137,0.021709203999999996,21.709203999999996,0.0
33496,192.168.0.41,192.168.0.42,1106137,0.093789101,0.167305946,0.07351684500000001,73.51684500000002,0.0
50756,192.168.0.41,192.168.0.42,1106467,0.151137114,0.283636093,0.132498979,132.498979,0.0
42186,192.168.0.41,192.168.0.42,1105543,0.291103125,0.323413134,0.03231000899999997,32.31000899999997,0.0
56132,192.168.0.41,192.168.0.42,1105675,0.330644131,0.384469032,0.05382490099999998,53.82490099999998,0.0
40901,192.168.0.41,192.168.0.42,1108777,0.392452002,0.434114933,0.04166293099999996,41.66293099999996,0.0
41978,192.168.0.41,192.168.0.42,1105279,0.441900969,0.486976147,0.04507517800000005,45.07517800000005,0.0
44953,192.168.0.41,192.168.0.42,1106467,0.485315084,0.541479111,0.056164027000000005,56.164027000000004,0.0
34039,192.168.0.41,192.168.0.42,1106203,0.549562931,0.578804016,0.029241085,29.241084999999998,0.0
56341,192.168.0.41,192.168.0.42,1106005,0.586524963,0.636958122,0.050433159000000005,50.433159,0.0
35505,192.168.0.41,192.168.0.42,1107391,0.644127131,0.695748091,0.05162096000000005,51.620960000000046,0.0
59320,192.168.0.41,192.168.0.42,1108249,0.696536064,0.729162931,0.03262686699999995,32.62686699999995,0.0
43174,192.168.0.41,192.168.0.42,1109437,0.73652792,0.779824018,0.043296098000000005,43.29609800000001,0.0
58107,192.168.0.41,192.168.0.42,1106995,0.787830114,0.827608109,0.03977799500000001,39.77799500000001,0.0
38539,192.168.0.41,192.168.0.42,1107589,0.827620983,0.875095129,0.047474145999999995,47.474146,0.0
46285,192.168.0.41,192.168.0.42,1108249,0.881308079,0.936681986,0.055373907,55.373907,0.0
41089,192.168.0.41,192.168.0.42,1106533,0.938327074,0.978451967,0.040124892999999995,40.12489299999999,0.0
59906,192.168.0.41,192.168.0.42,1108381,0.979176998,1.035284996,0.05610799799999988,56.10799799999988,0.0
39088,192.168.0.41,192.168.0.42,1108579,1.043288946,1.090373039,0.04708409299999983,47.084092999999825,0.0
38881,192.168.0.41,192.168.0.42,1104223,1.092438936,1.131771088,0.039332152000000065,39.332152000000065,0.0
51214,192.168.0.41,192.168.0.42,1106005,1.139203072,1.204642057,0.06543898500000012,65.43898500000012,0.0
38820,192.168.0.41,192.168.0.42,1106797,1.208112001,1.260071039,0.051959038000000124,51.95903800000012,0.0
