"No.","Time","D_Time","Source","Destination","s_port","d_port","Protocol","Length","Sequence num","Ack number","data len","Calculated window size","Info"
"1","0.000000s","0.000000s","192.168.0.41","192.168.0.42","49557","80","TCP","74","0","","","29200","49557 > http [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1069739 TSecr=0 WS=128"
"2","0.000066s","0.000066s","192.168.0.42","192.168.0.41","80","49557","TCP","74","0","1","","28960","http > 49557 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=1066135 TSecr=1069739 WS=4"
"3","0.000219s","0.000153s","192.168.0.41","192.168.0.42","49557","80","TCP","66","1","1","","29312","49557 > http [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=1069739 TSecr=1066135"
"4","0.000242s","0.000023s","192.168.0.41","192.168.0.42","49557","80","TCP","1514","1","1","1448","29312","[TCP segment of a reassembled PDU]"
"5","0.000278s","0.000036s","192.168.0.42","192.168.0.41","80","49557","TCP","66","1","1449","","27512","http > 49557 [ACK] Seq=1 Ack=1449 Win=27512 Len=0 TSval=1066135 TSecr=1069739"
"6","0.000289s","0.000011s","192.168.0.41","192.168.0.42","49557","80","TCP","1514","1449","1","1448","29312","[TCP segment of a reassembled PDU]"
"7","0.000308s","0.000019s","192.168.0.42","192.168.0.41","80","49557","TCP","66","1","2897","","26064","http > 49557 [ACK] Seq=1 Ack=2897 Win=26064 Len=0 TSval=1066135 TSecr=1069739"
"8","0.000311s","0.000003s","192.168.0.41","192.168.0.42","49557","80","TCP","1514","2897","1","1448","29312","[TCP segment of a reassembled PDU]"
"9","0.000320s","0.000009s","192.168.0.42","192.168.0.41","80","49557","TCP","66","1","4345","","24616","http > 49557 [ACK] Seq=1 Ack=4345 Win=24616 Len=0 TSval=1066135 TSecr=1069739"
"10","0.000323s","0.000003s","192.168.0.41","192.168.0.42","49557","80","TCP","1514","4345","1","1448","29312","[TCP segment of a reassembled PDU]"
"11","0.000331s","0.000008s","192.168.0.41","192.168.0.42","49557","80","TCP","1514","5793","1","2896","29312","[TCP segment of a reassembled PDU]"
"12","0.000337s","0.000006s","192.168.0.41","192.168.0.42","49557","80","TCP","1514","7241","1","4344","29312","[TCP segment of a reassembled PDU]"
"13","0.000343s","0.000006s","192.168.0.41","192.168.0.42","49557","80","TCP","1514","8689","1","5792","29312","[TCP segment of a reassembled PDU]"
"14","0.000351s","0.000008s","192.168.0.41","192.168.0.42","49557","80","TCP","1514","10137","1","7240","29312","[TCP segment of a reassembled PDU]"
"15","0.000357s","0.000006s","192.168.0.41","192.168.0.42","49557","80","TCP","1514","11585","1","8688","29312","[TCP segment of a reassembled PDU]"
"16","0.000362s","0.000005s","192.168.0.41","192.168.0.42","49557","80","TCP","1514","13033","1","10136","29312","[TCP segment of a reassembled PDU]"
"17","0.000372s","0.000010s","192.168.0.42","192.168.0.41","80","49557","TCP","66","1","8689","","20272","http > 49557 [ACK] Seq=1 Ack=8689 Win=20272 Len=0 TSval=1066135 TSecr=1069739"
"18","0.000386s","0.000014s","192.168.0.42","192.168.0.41","80","49557","TCP","78","1","8689","","20272","[TCP Dup ACK 17#1] http > 49557 [ACK] Seq=1 Ack=8689 Win=20272 Len=0 TSval=1066135 TSecr=1069739 SLE=11585 SRE=13033"
"19","0.000404s","0.000018s","192.168.0.42","192.168.0.41","80","49557","TCP","78","1","8689","","20272","[TCP Dup ACK 17#2] http > 49557 [ACK] Seq=1 Ack=8689 Win=20272 Len=0 TSval=1066135 TSecr=1069739 SLE=11585 SRE=14481"
"20","0.000414s","0.000010s","192.168.0.41","192.168.0.42","49557","80","TCP","1514","14481","1","7240","29312","[TCP segment of a reassembled PDU]"
