"No.","Time","D_Time","Source","Destination","s_port","d_port","Protocol","Length","Sequence num","Ack number","data len","Calculated window size","Info"
"1","0.000000s","0.000000s","192.168.0.41","192.168.0.42","49556","80","TCP","74","0","","","29200","49556 > http [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1051316 TSecr=0 WS=128"
"2","0.000067s","0.000067s","192.168.0.42","192.168.0.41","80","49556","TCP","74","0","1","","28960","http > 49556 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=1047712 TSecr=1051316 WS=128"
"3","0.000217s","0.000150s","192.168.0.41","192.168.0.42","49556","80","TCP","66","1","1","","29312","49556 > http [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=1051316 TSecr=1047712"
"4","0.000276s","0.000059s","192.168.0.41","192.168.0.42","49556","80","TCP","1514","1","1","1448","29312","[TCP segment of a reassembled PDU]"
"5","0.000315s","0.000039s","192.168.0.42","192.168.0.41","80","49556","TCP","66","1","1449","","31872","http > 49556 [ACK] Seq=1 Ack=1449 Win=31872 Len=0 TSval=1047712 TSecr=1051316"
"6","0.000328s","0.000013s","192.168.0.41","192.168.0.42","49556","80","TCP","1514","1449","1","1448","29312","[TCP segment of a reassembled PDU]"
"7","0.000343s","0.000015s","192.168.0.42","192.168.0.41","80","49556","TCP","66","1","2897","","34816","http > 49556 [ACK] Seq=1 Ack=2897 Win=34816 Len=0 TSval=1047712 TSecr=1051316"
"8","0.000345s","0.000002s","192.168.0.41","192.168.0.42","49556","80","TCP","1514","2897","1","1448","29312","[TCP segment of a reassembled PDU]"
"9","0.000353s","0.000008s","192.168.0.42","192.168.0.41","80","49556","TCP","66","1","4345","","37760","http > 49556 [ACK] Seq=1 Ack=4345 Win=37760 Len=0 TSval=1047712 TSecr=1051316"
"10","0.000355s","0.000002s","192.168.0.41","192.168.0.42","49556","80","TCP","1514","4345","1","1448","29312","[TCP segment of a reassembled PDU]"
"11","0.000361s","0.000006s","192.168.0.42","192.168.0.41","80","49556","TCP","66","1","5793","","40576","http > 49556 [ACK] Seq=1 Ack=5793 Win=40576 Len=0 TSval=1047712 TSecr=1051316"
"12","0.000364s","0.000003s","192.168.0.41","192.168.0.42","49556","80","TCP","1514","5793","1","1448","29312","[TCP segment of a reassembled PDU]"
"13","0.000373s","0.000009s","192.168.0.42","192.168.0.41","80","49556","TCP","66","1","7241","","43520","http > 49556 [ACK] Seq=1 Ack=7241 Win=43520 Len=0 TSval=1047712 TSecr=1051316"
"14","0.000375s","0.000002s","192.168.0.41","192.168.0.42","49556","80","TCP","1514","7241","1","1448","29312","[TCP segment of a reassembled PDU]"
"15","0.000381s","0.000006s","192.168.0.42","192.168.0.41","80","49556","TCP","66","1","8689","","46336","http > 49556 [ACK] Seq=1 Ack=8689 Win=46336 Len=0 TSval=1047712 TSecr=1051316"
"16","0.000383s","0.000002s","192.168.0.41","192.168.0.42","49556","80","TCP","1514","8689","1","1448","29312","[TCP segment of a reassembled PDU]"
